OrderYear,OrderMonth,CohortYear,CohortMonth,CohortAge,Number of Customers,Number of Orders,Number of ordering customers,Items ordered,Items returned,   Gross Sales   ,   Net Sales   ,,
Y3,1,Y1,4,21,35,9,7,20,4,1357.78,1181.81,,
Y3,1,Y1,5,20,33,9,7,22,4,1305.42,1059.52,,
Y3,1,Y1,6,19,21,6,4,13,1,1092.94,952.75,,
Y3,1,Y1,7,18,13,0,0,0,0,0.00,0.00,,
Y3,1,Y1,8,17,11,1,1,1,0,90.59,90.59,,
Y3,1,Y1,9,16,12,4,4,7,0,776.27,776.27,,
Y3,1,Y1,10,15,13,4,4,9,1,725.55,700.65,,
Y3,1,Y1,11,14,11,1,1,2,0,112.49,112.49,,
Y3,1,Y1,12,13,5,2,2,3,0,178.70,178.70,,
Y3,1,Y2,1,12,7,3,2,4,0,367.13,367.13,,
Y3,1,Y2,2,11,14,5,4,9,0,796.74,796.74,,
Y3,1,Y2,3,10,18,3,3,7,4,449.06,261.88,,
Y3,1,Y2,4,9,15,5,4,9,0,570.94,570.94,,
Y3,1,Y2,5,8,22,2,1,4,0,349.74,349.74,,
Y3,1,Y2,6,7,20,12,6,32,6,2100.61,1758.65,,
Y3,1,Y2,7,6,17,9,6,21,4,1105.49,943.20,,
Y3,1,Y2,8,5,9,2,1,5,0,489.50,489.50,,
Y3,1,Y2,9,4,14,5,4,15,3,1297.17,1055.78,,
Y3,1,Y2,10,3,15,0,0,0,0,0.00,0.00,,
Y3,1,Y2,11,2,43,19,11,41,6,2903.39,2627.37,,
Y3,1,Y2,12,1,27,14,7,34,10,2364.28,1634.69,,
Y3,1,Y3,1,0,33,46,33,93,12,6292.02,5353.06,,
Y3,2,Y1,4,22,35,15,9,25,3,1745.95,1597.98,,
Y3,2,Y1,5,21,33,7,6,13,4,909.73,608.06,,
Y3,2,Y1,6,20,21,3,2,5,0,516.40,516.40,,
Y3,2,Y1,7,19,13,0,0,0,0,0.00,0.00,,
Y3,2,Y1,8,18,11,4,2,12,0,871.95,871.95,,
Y3,2,Y1,9,17,12,4,2,6,0,677.25,677.25,,
Y3,2,Y1,10,16,13,1,1,2,0,224.31,224.31,,
Y3,2,Y1,11,15,11,1,1,1,0,45.49,45.49,,
Y3,2,Y1,12,14,5,0,0,0,0,0.00,0.00,,
Y3,2,Y2,1,13,7,0,0,0,0,0.00,0.00,,
Y3,2,Y2,2,12,14,1,1,1,0,210.69,210.69,,
Y3,2,Y2,3,11,18,7,4,10,2,741.81,618.86,,
Y3,2,Y2,4,10,15,6,3,10,0,618.25,618.25,,
Y3,2,Y2,5,9,22,0,0,0,0,0.00,0.00,,
Y3,2,Y2,6,8,20,4,4,8,1,874.89,804.40,,
Y3,2,Y2,7,7,17,7,3,20,9,1535.82,758.56,,
Y3,2,Y2,8,6,9,4,2,6,0,438.55,438.55,,
Y3,2,Y2,9,5,14,4,2,11,0,647.78,647.78,,
Y3,2,Y2,10,4,15,5,3,14,2,1150.25,992.13,,
Y3,2,Y2,11,3,43,9,6,13,2,885.24,702.59,,
Y3,2,Y2,12,2,27,16,5,34,13,1982.83,1287.90,,
Y3,2,Y3,1,1,33,17,11,47,2,2864.32,2723.34,,
Y3,2,Y3,2,0,24,25,23,58,13,3806.18,3089.23,,
Y3,3,Y1,4,23,35,25,8,42,5,3327.11,2893.29,,
Y3,3,Y1,5,22,33,11,4,20,11,1967.26,833.31,,
Y3,3,Y1,6,21,21,5,4,13,3,1066.89,822.58,,
Y3,3,Y1,7,20,13,0,0,0,0,0.00,0.00,,
Y3,3,Y1,8,19,11,2,1,2,0,220.81,220.81,,
Y3,3,Y1,9,18,12,3,3,4,0,461.37,461.37,,
Y3,3,Y1,10,17,13,2,2,2,0,108.72,108.72,,
Y3,3,Y1,11,16,11,2,2,2,0,217.45,217.45,,
Y3,3,Y1,12,15,5,1,1,1,0,70.49,70.49,,
Y3,3,Y2,1,14,7,1,1,3,0,160.00,160.00,,
Y3,3,Y2,2,13,14,3,2,9,4,556.96,269.12,,
Y3,3,Y2,3,12,18,4,4,6,1,378.20,306.73,,
Y3,3,Y2,4,11,15,3,2,3,0,269.93,269.93,,
Y3,3,Y2,5,10,22,2,2,5,0,319.21,319.21,,
Y3,3,Y2,6,9,20,5,3,10,3,1081.09,866.68,,
Y3,3,Y2,7,8,17,4,3,7,0,391.04,391.04,,
Y3,3,Y2,8,7,9,3,3,6,0,349.23,349.23,,
Y3,3,Y2,9,6,14,5,5,8,1,654.12,540.49,,
Y3,3,Y2,10,5,15,2,2,3,0,414.83,414.83,,
Y3,3,Y2,11,4,43,12,7,20,5,1540.46,1158.55,,
Y3,3,Y2,12,3,27,14,6,31,11,2976.13,1594.50,,
Y3,3,Y3,1,2,33,3,3,4,1,332.94,243.82,,
Y3,3,Y3,2,1,24,7,5,9,0,748.68,748.68,,
Y3,3,Y3,3,0,19,21,19,52,12,4288.90,3354.72,,
Y3,4,Y1,4,24,35,14,7,24,0,1872.30,1872.30,,
Y3,4,Y1,5,23,33,13,4,22,9,2181.51,1264.75,,
Y3,4,Y1,6,22,21,4,3,10,0,761.28,761.28,,
Y3,4,Y1,7,21,13,0,0,0,0,0.00,0.00,,
Y3,4,Y1,8,20,11,0,0,0,0,0.00,0.00,,
Y3,4,Y1,9,19,12,3,3,4,0,266.31,266.31,,
Y3,4,Y1,10,18,13,2,1,2,0,215.98,215.98,,
Y3,4,Y1,11,17,11,2,2,4,1,338.82,267.35,,
Y3,4,Y1,12,16,5,0,0,0,0,0.00,0.00,,
Y3,4,Y2,1,15,7,0,0,0,0,0.00,0.00,,
Y3,4,Y2,2,14,14,1,1,1,0,70.77,70.77,,
Y3,4,Y2,3,13,18,4,2,6,0,456.07,456.07,,
Y3,4,Y2,4,12,15,2,2,2,0,163.96,163.96,,
Y3,4,Y2,5,11,22,1,1,1,0,212.65,212.65,,
Y3,4,Y2,6,10,20,12,5,28,4,2333.50,2066.25,,
Y3,4,Y2,7,9,17,9,3,24,7,1801.74,1194.88,,
Y3,4,Y2,8,8,9,2,2,3,0,289.75,289.75,,
Y3,4,Y2,9,7,14,3,2,9,0,834.14,834.14,,
Y3,4,Y2,10,6,15,4,3,10,0,764.71,764.71,,
Y3,4,Y2,11,5,43,6,4,18,4,945.02,774.00,,
Y3,4,Y2,12,4,27,16,8,27,7,2258.25,1494.55,,
Y3,4,Y3,1,3,33,8,7,21,3,1552.44,1373.33,,
Y3,4,Y3,2,2,24,9,5,13,0,1002.67,1002.67,,
Y3,4,Y3,3,1,19,10,6,24,1,1436.29,1402.68,,
Y3,4,Y3,4,0,38,49,38,102,27,10336.11,6973.08,,
Y3,5,Y1,4,25,35,17,5,29,0,2368.43,2368.43,,
Y3,5,Y1,5,24,33,5,3,7,1,709.63,615.61,,
Y3,5,Y1,6,23,21,5,3,9,0,775.59,775.59,,
Y3,5,Y1,7,22,13,0,0,0,0,0.00,0.00,,
Y3,5,Y1,8,21,11,0,0,0,0,0.00,0.00,,
Y3,5,Y1,9,20,12,5,2,7,0,549.81,549.81,,
Y3,5,Y1,10,19,13,5,2,6,2,528.34,424.61,,
Y3,5,Y1,11,18,11,1,1,2,0,214.51,214.51,,
Y3,5,Y1,12,17,5,1,1,3,0,101.18,101.18,,
Y3,5,Y2,1,16,7,2,1,2,0,183.14,183.14,,
Y3,5,Y2,2,15,14,1,1,1,0,73.92,73.92,,
Y3,5,Y2,3,14,18,2,2,5,1,285.29,222.65,,
Y3,5,Y2,4,13,15,1,1,1,0,64.61,64.61,,
Y3,5,Y2,5,12,22,1,1,1,0,118.04,118.04,,
Y3,5,Y2,6,11,20,9,3,19,2,1587.54,1468.85,,
Y3,5,Y2,7,10,17,5,2,18,7,1359.02,825.39,,
Y3,5,Y2,8,9,9,1,1,2,0,117.94,117.94,,
Y3,5,Y2,9,8,14,2,2,4,0,341.28,341.28,,
Y3,5,Y2,10,7,15,1,1,1,1,65.10,11.28,,
Y3,5,Y2,11,6,43,7,7,9,0,1076.57,1076.57,,
Y3,5,Y2,12,5,27,11,4,28,12,2364.55,1329.13,,
Y3,5,Y3,1,4,33,4,4,7,0,473.33,473.33,,
Y3,5,Y3,2,3,24,7,5,15,1,1242.65,1142.75,,
Y3,5,Y3,3,2,19,4,3,13,3,897.25,671.92,,
Y3,5,Y3,4,1,38,15,9,43,12,3684.93,2894.67,,
Y3,5,Y3,5,0,40,51,40,132,38,13088.88,10004.35,,
Y3,6,Y1,4,26,35,17,8,33,2,2076.73,1945.31,,
Y3,6,Y1,5,25,33,8,5,14,5,843.27,533.96,,
Y3,6,Y1,6,24,21,2,2,3,2,173.24,45.00,,
Y3,6,Y1,7,23,13,0,0,0,0,0.00,0.00,,
Y3,6,Y1,8,22,11,0,0,0,0,0.00,0.00,,
Y3,6,Y1,9,21,12,3,2,6,0,486.67,486.67,,
Y3,6,Y1,10,20,13,2,2,5,1,262.25,181.96,,
Y3,6,Y1,11,19,11,0,0,0,0,0.00,0.00,,
Y3,6,Y1,12,18,5,1,1,3,0,108.53,108.53,,
Y3,6,Y2,1,17,7,0,0,0,0,0.00,0.00,,
Y3,6,Y2,2,16,14,0,0,0,0,0.00,0.00,,
Y3,6,Y2,3,15,18,8,5,11,0,768.31,768.31,,
Y3,6,Y2,4,14,15,1,1,1,0,43.04,43.04,,
Y3,6,Y2,5,13,22,2,2,2,0,137.06,137.06,,
Y3,6,Y2,6,12,20,6,3,26,1,1334.71,1265.20,,
Y3,6,Y2,7,11,17,8,3,21,5,1313.63,1052.35,,
Y3,6,Y2,8,10,9,0,0,0,0,0.00,0.00,,
Y3,6,Y2,9,9,14,3,3,15,9,1017.95,363.14,,
Y3,6,Y2,10,8,15,2,2,3,0,136.96,136.96,,
Y3,6,Y2,11,7,43,2,2,3,0,307.55,307.55,,
Y3,6,Y2,12,6,27,14,3,27,10,1920.88,1021.86,,
Y3,6,Y3,1,5,33,5,5,11,0,673.43,673.43,,
Y3,6,Y3,2,4,24,8,5,12,2,917.45,762.75,,
Y3,6,Y3,3,3,19,4,2,24,11,1186.86,724.22,,
Y3,6,Y3,4,2,38,12,6,33,6,2631.08,1979.71,,
Y3,6,Y3,5,1,40,16,9,35,3,2807.35,2597.84,,
Y3,6,Y3,6,0,67,91,67,172,45,11944.83,9105.13,,
Y3,7,Y1,4,27,35,24,8,51,0,2263.30,2263.30,,
Y3,7,Y1,5,26,33,8,4,12,4,1165.63,672.76,,
Y3,7,Y1,6,25,21,6,5,14,0,611.91,611.91,,
Y3,7,Y1,7,24,13,2,2,3,0,83.05,83.05,,
Y3,7,Y1,8,23,11,2,2,3,0,154.07,154.07,,
Y3,7,Y1,9,22,12,4,3,4,0,308.42,308.42,,
Y3,7,Y1,10,21,13,2,2,2,0,180.46,180.46,,
Y3,7,Y1,11,20,11,0,0,0,0,0.00,0.00,,
Y3,7,Y1,12,19,5,0,0,0,0,0.00,0.00,,
Y3,7,Y2,1,18,7,0,0,0,0,0.00,0.00,,
Y3,7,Y2,2,17,14,1,1,3,0,176.80,176.80,,
Y3,7,Y2,3,16,18,9,6,18,2,997.14,907.37,,
Y3,7,Y2,4,15,15,5,2,8,0,244.19,244.19,,
Y3,7,Y2,5,14,22,2,2,3,1,110.51,63.26,,
Y3,7,Y2,6,13,20,11,5,20,0,1640.64,1640.64,,
Y3,7,Y2,7,12,17,6,4,18,3,795.51,598.42,,
Y3,7,Y2,8,11,9,1,1,1,0,84.19,84.19,,
Y3,7,Y2,9,10,14,1,1,3,0,230.10,230.10,,
Y3,7,Y2,10,9,15,1,1,1,1,140.06,0.00,,
Y3,7,Y2,11,8,43,5,3,9,2,508.33,407.54,,
Y3,7,Y2,12,7,27,10,4,17,6,1086.77,747.38,,
Y3,7,Y3,1,6,33,1,1,2,0,95.45,95.45,,
Y3,7,Y3,2,5,24,3,3,3,0,279.08,279.08,,
Y3,7,Y3,3,4,19,5,5,14,6,844.52,632.37,,
Y3,7,Y3,4,3,38,15,8,39,5,2514.82,2140.80,,
Y3,7,Y3,5,2,40,15,10,30,6,1697.41,1412.94,,
Y3,7,Y3,6,1,67,17,12,36,3,2199.78,1949.09,,
Y3,7,Y3,7,0,70,81,70,151,41,9927.39,7582.75,,
Y3,8,Y1,4,28,35,12,8,22,1,1362.50,1301.04,,
Y3,8,Y1,5,27,33,1,1,1,0,114.49,114.49,,
Y3,8,Y1,6,26,21,1,1,2,0,92.61,92.61,,
Y3,8,Y1,7,25,13,0,0,0,0,0.00,0.00,,
Y3,8,Y1,8,24,11,0,0,0,0,0.00,0.00,,
Y3,8,Y1,9,23,12,0,0,0,0,0.00,0.00,,
Y3,8,Y1,10,22,13,0,0,0,0,0.00,0.00,,
Y3,8,Y1,11,21,11,2,2,5,1,210.70,166.29,,
Y3,8,Y1,12,20,5,0,0,0,0,0.00,0.00,,
Y3,8,Y2,1,19,7,0,0,0,0,0.00,0.00,,
Y3,8,Y2,2,18,14,1,1,1,0,26.42,26.42,,
Y3,8,Y2,3,17,18,1,1,2,0,98.30,98.30,,
Y3,8,Y2,4,16,15,3,1,4,0,106.63,106.63,,
Y3,8,Y2,5,15,22,2,2,4,0,310.23,310.23,,
Y3,8,Y2,6,14,20,3,2,4,0,496.78,496.78,,
Y3,8,Y2,7,13,17,3,2,4,1,393.56,174.91,,
Y3,8,Y2,8,12,9,0,0,0,0,0.00,0.00,,
Y3,8,Y2,9,11,14,1,1,4,0,210.80,210.80,,
Y3,8,Y2,10,10,15,1,1,1,0,61.46,61.46,,
Y3,8,Y2,11,9,43,6,4,14,0,689.02,689.02,,
Y3,8,Y2,12,8,27,2,2,2,0,40.53,40.53,,
Y3,8,Y3,1,7,33,3,3,4,1,236.36,104.83,,
Y3,8,Y3,2,6,24,0,0,0,0,0.00,0.00,,
Y3,8,Y3,3,5,19,3,3,8,0,336.36,336.36,,
Y3,8,Y3,4,4,38,10,5,16,3,887.69,755.40,,
Y3,8,Y3,5,3,40,6,4,16,3,1655.68,983.62,,
Y3,8,Y3,6,2,67,10,7,25,0,1223.96,1223.96,,
Y3,8,Y3,7,1,70,16,9,26,3,2111.17,1983.62,,
Y3,8,Y3,8,0,88,102,85,186,47,11231.44,8002.94,,
Y3,9,Y1,4,29,35,4,3,11,1,676.99,615.53,,
Y3,9,Y1,5,28,33,3,2,4,2,329.17,144.70,,
Y3,9,Y1,6,27,21,2,1,3,0,144.60,144.60,,
Y3,9,Y1,7,26,13,1,1,2,2,254.55,0.00,,
Y3,9,Y1,8,25,11,1,1,1,0,69.98,69.98,,
Y3,9,Y1,9,24,12,2,2,2,1,70.83,22.63,,
Y3,9,Y1,10,23,13,1,1,2,1,175.95,96.50,,
Y3,9,Y1,11,22,11,4,2,6,0,505.11,505.11,,
Y3,9,Y1,12,21,5,0,0,0,0,0.00,0.00,,
Y3,9,Y2,1,20,7,0,0,0,0,0.00,0.00,,
Y3,9,Y2,2,19,14,0,0,0,0,0.00,0.00,,
Y3,9,Y2,3,18,18,0,0,0,0,0.00,0.00,,
Y3,9,Y2,4,17,15,0,0,0,0,0.00,0.00,,
Y3,9,Y2,5,16,22,0,0,0,0,0.00,0.00,,
Y3,9,Y2,6,15,20,4,2,5,0,582.86,582.86,,
Y3,9,Y2,7,14,17,2,2,6,2,422.73,277.08,,
Y3,9,Y2,8,13,9,0,0,0,0,0.00,0.00,,
Y3,9,Y2,9,12,14,1,1,3,2,210.89,87.97,,
Y3,9,Y2,10,11,15,3,3,4,0,346.21,346.21,,
Y3,9,Y2,11,10,43,1,1,2,0,109.66,109.66,,
Y3,9,Y2,12,9,27,3,2,8,4,687.69,436.17,,
Y3,9,Y3,1,8,33,3,3,4,2,245.83,124.81,,
Y3,9,Y3,2,7,24,1,1,2,0,167.42,167.42,,
Y3,9,Y3,3,6,19,0,0,0,0,0.00,0.00,,
Y3,9,Y3,4,5,38,4,3,7,0,456.72,456.72,,
Y3,9,Y3,5,4,40,8,3,42,5,3861.55,3380.02,,
Y3,9,Y3,6,3,67,5,4,8,1,571.21,483.24,,
Y3,9,Y3,7,2,70,7,4,19,1,2179.07,2082.58,,
Y3,9,Y3,8,1,88,6,5,10,2,677.08,501.14,,
Y3,9,Y3,9,0,43,56,43,116,26,12043.94,8419.51,,
Y3,10,Y1,4,30,35,8,4,14,1,871.78,792.33,,
Y3,10,Y1,5,29,33,3,2,5,0,403.88,403.88,,
Y3,10,Y1,6,28,21,3,3,5,1,425.66,350.95,,
Y3,10,Y1,7,27,13,0,0,0,0,0.00,0.00,,
Y3,10,Y1,8,26,11,0,0,0,0,0.00,0.00,,
Y3,10,Y1,9,25,12,2,2,2,0,157.95,157.95,,
Y3,10,Y1,10,24,13,3,2,4,0,455.11,455.11,,
Y3,10,Y1,11,23,11,3,3,3,1,332.10,139.02,,
Y3,10,Y1,12,22,5,0,0,0,0,0.00,0.00,,
Y3,10,Y2,1,21,7,0,0,0,0,0.00,0.00,,
Y3,10,Y2,2,20,14,0,0,0,0,0.00,0.00,,
Y3,10,Y2,3,19,18,4,3,6,0,340.34,340.34,,
Y3,10,Y2,4,18,15,2,1,2,0,81.25,81.25,,
Y3,10,Y2,5,17,22,1,1,1,0,62.41,62.41,,
Y3,10,Y2,6,16,20,11,5,22,0,2052.84,2052.84,,
Y3,10,Y2,7,15,17,1,1,1,0,79.45,79.45,,
Y3,10,Y2,8,14,9,2,2,2,0,193.94,193.94,,
Y3,10,Y2,9,13,14,3,2,9,4,708.43,444.60,,
Y3,10,Y2,10,12,15,5,2,9,0,874.15,874.15,,
Y3,10,Y2,11,11,43,7,4,17,0,1362.97,1362.97,,
Y3,10,Y2,12,10,27,4,1,19,8,1480.21,885.32,,
Y3,10,Y3,1,9,33,1,1,1,0,58.62,58.62,,
Y3,10,Y3,2,8,24,2,1,2,0,263.07,263.07,,
Y3,10,Y3,3,7,19,2,2,2,0,157.95,157.95,,
Y3,10,Y3,4,6,38,3,3,7,5,470.93,167.42,,
Y3,10,Y3,5,5,40,14,6,46,5,3903.79,3526.42,,
Y3,10,Y3,6,4,67,8,7,25,7,2506.16,1954.73,,
Y3,10,Y3,7,3,70,9,6,21,4,1931.72,1623.39,,
Y3,10,Y3,8,2,88,3,3,11,4,988.54,518.28,,
Y3,10,Y3,9,1,43,18,12,46,6,4392.42,3783.14,,
Y3,10,Y3,10,0,50,64,50,120,27,11504.73,8095.36,,
Y3,11,Y1,4,31,35,11,6,20,3,1427.08,1218.09,,
Y3,11,Y1,5,30,33,2,2,4,1,189.96,122.82,,
Y3,11,Y1,6,29,21,2,1,3,0,211.84,211.84,,
Y3,11,Y1,7,28,13,0,0,0,0,0.00,0.00,,
Y3,11,Y1,8,27,11,1,1,1,0,61.46,61.46,,
Y3,11,Y1,9,26,12,2,2,3,0,201.42,201.42,,
Y3,11,Y1,10,25,13,2,2,5,1,806.34,639.77,,
Y3,11,Y1,11,24,11,0,0,0,0,0.00,0.00,,
Y3,11,Y1,12,23,5,1,1,1,0,61.46,61.46,,
Y3,11,Y2,1,22,7,0,0,0,0,0.00,0.00,,
Y3,11,Y2,2,21,14,0,0,0,0,0.00,0.00,,
Y3,11,Y2,3,20,18,3,2,4,0,368.94,368.94,,
Y3,11,Y2,4,19,15,3,1,4,0,195.64,195.64,,
Y3,11,Y2,5,18,22,2,1,4,0,290.34,290.34,,
Y3,11,Y2,6,17,20,2,2,4,0,562.12,562.12,,
Y3,11,Y2,7,16,17,4,2,7,2,628.13,467.33,,
Y3,11,Y2,8,15,9,0,0,0,0,0.00,0.00,,
Y3,11,Y2,9,14,14,3,3,8,0,628.98,628.98,,
Y3,11,Y2,10,13,15,3,1,6,0,490.91,490.91,,
Y3,11,Y2,11,12,43,3,3,4,0,232.58,232.58,,
Y3,11,Y2,12,11,27,6,3,16,5,1473.86,1057.67,,
Y3,11,Y3,1,10,33,4,3,4,0,699.43,699.43,,
Y3,11,Y3,2,9,24,8,2,10,0,1096.59,1096.59,,
Y3,11,Y3,3,8,19,2,2,3,0,214.68,214.68,,
Y3,11,Y3,4,7,38,5,3,5,1,386.84,338.64,,
Y3,11,Y3,5,6,40,2,2,6,0,470.08,470.08,,
Y3,11,Y3,6,5,67,4,4,5,2,491.00,210.89,,
Y3,11,Y3,7,4,70,10,8,24,1,1993.94,1923.96,,
Y3,11,Y3,8,3,88,10,5,16,3,1340.34,1090.63,,
Y3,11,Y3,9,2,43,11,8,17,6,1568.47,1001.80,,
Y3,11,Y3,10,1,50,13,10,16,2,1138.64,1018.56,,
Y3,11,Y3,11,0,74,80,73,160,72,15732.01,7760.61,,
Y3,12,Y1,4,32,35,3,3,6,0,338.45,338.45,,
Y3,12,Y1,5,31,33,2,2,3,0,185.32,185.32,,
Y3,12,Y1,6,30,21,0,0,0,0,0.00,0.00,,
Y3,12,Y1,7,29,13,0,0,0,0,0.00,0.00,,
Y3,12,Y1,8,28,11,0,0,0,0,0.00,0.00,,
Y3,12,Y1,9,27,12,0,0,0,0,0.00,0.00,,
Y3,12,Y1,10,26,13,2,1,3,0,416.38,416.38,,
Y3,12,Y1,11,25,11,3,3,3,0,342.52,342.52,,
Y3,12,Y1,12,24,5,1,1,1,0,64.30,64.30,,
Y3,12,Y2,1,23,7,0,0,0,0,0.00,0.00,,
Y3,12,Y2,2,22,14,0,0,0,0,0.00,0.00,,
Y3,12,Y2,3,21,18,1,1,2,0,132.39,132.39,,
Y3,12,Y2,4,20,15,4,1,4,0,209.85,209.85,,
Y3,12,Y2,5,19,22,0,0,0,0,0.00,0.00,,
Y3,12,Y2,6,18,20,4,3,16,0,1812.88,1812.88,,
Y3,12,Y2,7,17,17,1,1,2,0,174.05,174.05,,
Y3,12,Y2,8,16,9,1,1,3,0,457.10,457.10,,
Y3,12,Y2,9,15,14,1,1,3,0,132.29,132.29,,
Y3,12,Y2,10,14,15,1,1,7,0,450.09,450.09,,
Y3,12,Y2,11,13,43,5,5,12,3,773.48,620.36,,
Y3,12,Y2,12,12,27,1,1,1,1,166.57,0.00,,
Y3,12,Y3,1,11,33,6,5,10,1,929.92,872.25,,
Y3,12,Y3,2,10,24,6,5,9,1,733.05,662.12,,
Y3,12,Y3,3,9,19,1,1,2,0,101.14,101.14,,
Y3,12,Y3,4,8,38,7,4,10,2,793.56,575.00,,
Y3,12,Y3,5,7,40,7,4,15,4,1485.32,1050.09,,
Y3,12,Y3,6,6,67,5,3,16,7,934.09,500.09,,
Y3,12,Y3,7,5,70,9,5,15,1,1022.25,952.27,,
Y3,12,Y3,8,4,88,9,6,16,0,1058.14,1058.14,,
Y3,12,Y3,9,3,43,6,6,8,1,716.10,638.54,,
Y3,12,Y3,10,2,50,12,10,19,6,1714.11,1255.40,,
Y3,12,Y3,11,1,74,19,13,40,13,3138.26,2158.43,,
Y3,12,Y3,12,0,69,77,68,138,40,10822.25,7385.70,,
Y4,1,Y1,4,33,35,6,6,10,1,471.59,356.16,,
Y4,1,Y1,5,32,33,7,4,11,3,807.67,613.83,,
Y4,1,Y1,6,31,21,2,2,3,0,274.34,274.34,,
Y4,1,Y1,7,30,13,1,1,2,0,50.95,50.95,,
Y4,1,Y1,8,29,11,1,1,1,0,42.52,42.52,,
Y4,1,Y1,9,28,12,0,0,0,0,0.00,0.00,,
Y4,1,Y1,10,27,13,0,0,0,0,0.00,0.00,,
Y4,1,Y1,11,26,11,2,2,4,2,265.72,112.50,,
Y4,1,Y1,12,25,5,0,0,0,0,0.00,0.00,,
Y4,1,Y2,1,24,7,1,1,5,0,303.50,303.50,,
Y4,1,Y2,2,23,14,2,2,2,1,246.02,137.22,,
Y4,1,Y2,3,22,18,1,1,1,0,68.09,68.09,,
Y4,1,Y2,4,21,15,3,1,5,0,128.31,128.31,,
Y4,1,Y2,5,20,22,1,1,1,0,18.84,18.84,,
Y4,1,Y2,6,19,20,2,2,4,2,351.89,246.02,,
Y4,1,Y2,7,18,17,5,2,9,1,400.66,366.67,,
Y4,1,Y2,8,17,9,4,3,4,1,359.47,302.75,,
Y4,1,Y2,9,16,14,1,1,3,0,172.06,172.06,,
Y4,1,Y2,10,15,15,3,2,8,0,790.91,790.91,,
Y4,1,Y2,11,14,43,5,5,6,0,488.07,488.07,,
Y4,1,Y2,12,13,27,12,5,33,14,1554.64,1050.28,,
Y4,1,Y3,1,12,33,9,6,14,2,1136.93,973.30,,
Y4,1,Y3,2,11,24,5,2,6,0,712.50,712.50,,
Y4,1,Y3,3,10,19,1,1,1,0,91.76,91.76,,
Y4,1,Y3,4,9,38,6,5,11,1,795.36,717.80,,
Y4,1,Y3,5,8,40,6,1,6,1,514.58,303.50,,
Y4,1,Y3,6,7,67,9,7,31,16,1541.57,830.97,,
Y4,1,Y3,7,6,70,15,8,38,10,2149.81,1620.45,,
Y4,1,Y3,8,5,88,19,9,24,2,1700.38,1576.52,,
