OrderYear,OrderMonth,CohortYear,CohortMonth,CohortAge,Number of Customers,Number of Orders,Number of ordering customers,Items ordered,Items returned,   Gross Sales   ,   Net Sales   ,,
Y4,1,Y3,9,4,43,9,8,24,5,1639.77,1220.74,,
Y4,1,Y3,10,3,50,10,7,17,3,826.04,662.50,,
Y4,1,Y3,11,2,74,17,10,32,2,2014.02,1815.34,,
Y4,1,Y3,12,1,69,17,8,27,3,2048.58,1881.25,,
Y4,1,Y4,1,0,71,82,70,145,48,10756.16,7069.41,,
Y4,2,Y1,4,34,35,4,3,6,2,517.42,398.30,,
Y4,2,Y1,5,33,33,5,3,5,1,458.81,370.83,,
Y4,2,Y1,6,32,21,0,0,0,0,0.00,0.00,,
Y4,2,Y1,7,31,13,1,1,1,0,72.82,72.82,,
Y4,2,Y1,8,30,11,0,0,0,0,0.00,0.00,,
Y4,2,Y1,9,29,12,0,0,0,0,0.00,0.00,,
Y4,2,Y1,10,28,13,1,1,2,0,130.49,130.49,,
Y4,2,Y1,11,27,11,1,1,1,0,131.53,131.53,,
Y4,2,Y1,12,26,5,0,0,0,0,0.00,0.00,,
Y4,2,Y2,1,25,7,1,1,3,0,201.42,201.42,,
Y4,2,Y2,2,24,14,0,0,0,0,0.00,0.00,,
Y4,2,Y2,3,23,18,0,0,0,0,0.00,0.00,,
Y4,2,Y2,4,22,15,0,0,0,0,0.00,0.00,,
Y4,2,Y2,5,21,22,1,1,1,0,79.45,79.45,,
Y4,2,Y2,6,20,20,5,3,6,0,756.06,756.06,,
Y4,2,Y2,7,19,17,4,1,4,0,429.55,429.55,,
Y4,2,Y2,8,18,9,0,0,0,0,0.00,0.00,,
Y4,2,Y2,9,17,14,0,0,0,0,0.00,0.00,,
Y4,2,Y2,10,16,15,2,2,2,0,281.06,281.06,,
Y4,2,Y2,11,15,43,0,0,0,0,0.00,0.00,,
Y4,2,Y2,12,14,27,2,1,2,0,103.03,103.03,,
Y4,2,Y3,1,13,33,0,0,0,0,0.00,0.00,,
Y4,2,Y3,2,12,24,1,1,2,0,74.62,74.62,,
Y4,2,Y3,3,11,19,2,2,4,0,305.49,305.49,,
Y4,2,Y3,4,10,38,3,3,4,1,424.81,249.72,,
Y4,2,Y3,5,9,40,8,3,23,1,2148.39,2033.90,,
Y4,2,Y3,6,8,67,4,4,6,3,527.84,284.75,,
Y4,2,Y3,7,7,70,8,3,11,4,545.36,297.63,,
Y4,2,Y3,8,6,88,7,6,7,3,632.86,432.39,,
Y4,2,Y3,9,5,43,6,5,14,2,1088.64,865.34,,
Y4,2,Y3,10,4,50,7,4,11,3,959.19,794.70,,
Y4,2,Y3,11,3,74,7,5,17,6,1286.27,724.34,,
Y4,2,Y3,12,2,69,9,5,13,0,1035.70,1035.70,,
Y4,2,Y4,1,1,71,11,7,16,5,1471.97,1162.78,,
Y4,2,Y4,2,0,56,66,55,125,40,10951.33,7051.70,,
Y4,3,Y1,4,35,35,7,5,14,3,1231.89,958.59,,
Y4,3,Y1,5,34,33,2,1,2,0,226.82,226.82,,
Y4,3,Y1,6,33,21,1,1,2,0,217.24,217.24,,
Y4,3,Y1,7,32,13,0,0,0,0,0.00,0.00,,
Y4,3,Y1,8,31,11,0,0,0,0,0.00,0.00,,
Y4,3,Y1,9,30,12,0,0,0,0,0.00,0.00,,
Y4,3,Y1,10,29,13,2,1,2,0,259.39,259.39,,
Y4,3,Y1,11,28,11,2,1,2,0,285.25,285.25,,
Y4,3,Y1,12,27,5,0,0,0,0,0.00,0.00,,
Y4,3,Y2,1,26,7,0,0,0,0,0.00,0.00,,
Y4,3,Y2,2,25,14,0,0,0,0,0.00,0.00,,
Y4,3,Y2,3,24,18,1,1,1,0,66.95,66.95,,
Y4,3,Y2,4,23,15,2,2,2,1,121.46,53.54,,
Y4,3,Y2,5,22,22,1,1,1,0,70.79,70.79,,
Y4,3,Y2,6,21,20,5,5,7,0,820.21,820.21,,
Y4,3,Y2,7,20,17,1,1,1,1,33.43,0.00,,
Y4,3,Y2,8,19,9,1,1,2,0,92.72,92.72,,
Y4,3,Y2,9,18,14,3,1,6,2,322.22,204.60,,
Y4,3,Y2,10,17,15,1,1,1,0,58.33,58.33,,
Y4,3,Y2,11,16,43,1,1,1,0,100.48,100.48,,
Y4,3,Y2,12,15,27,10,3,16,6,1678.44,934.16,,
Y4,3,Y3,1,14,33,4,4,7,2,540.91,440.13,,
Y4,3,Y3,2,13,24,2,2,2,0,162.64,162.64,,
Y4,3,Y3,3,12,19,2,2,4,0,193.51,193.51,,
Y4,3,Y3,4,11,38,0,0,0,0,0.00,0.00,,
Y4,3,Y3,5,10,40,8,4,27,1,2159.29,2113.41,,
Y4,3,Y3,6,9,67,2,2,4,2,306.13,105.17,,
Y4,3,Y3,7,8,70,7,3,8,0,481.16,481.16,,
Y4,3,Y3,8,7,88,8,5,12,1,947.13,846.65,,
Y4,3,Y3,9,6,43,7,6,18,4,1892.91,1565.71,,
Y4,3,Y3,10,5,50,10,8,16,6,1222.51,773.95,,
Y4,3,Y3,11,4,74,8,5,11,0,920.92,920.92,,
Y4,3,Y3,12,3,69,8,7,16,2,1341.47,1216.18,,
Y4,3,Y4,1,2,71,22,9,43,16,3616.11,2413.78,,
Y4,3,Y4,2,1,56,10,7,17,5,1616.62,1152.54,,
Y4,3,Y4,3,0,63,74,62,149,30,13166.82,10155.67,,
Y4,4,Y1,4,36,35,6,4,10,2,1004.79,795.21,,
Y4,4,Y1,5,35,33,5,2,6,3,652.68,378.07,,
Y4,4,Y1,6,34,21,2,1,8,2,400.57,313.60,,
Y4,4,Y1,7,33,13,1,1,1,0,84.20,84.20,,
Y4,4,Y1,8,32,11,0,0,0,0,0.00,0.00,,
Y4,4,Y1,9,31,12,0,0,0,0,0.00,0.00,,
Y4,4,Y1,10,30,13,4,3,5,1,481.32,375.10,,
Y4,4,Y1,11,29,11,0,0,0,0,0.00,0.00,,
Y4,4,Y1,12,28,5,0,0,0,0,0.00,0.00,,
Y4,4,Y2,1,27,7,0,0,0,0,0.00,0.00,,
Y4,4,Y2,2,26,14,0,0,0,0,0.00,0.00,,
Y4,4,Y2,3,25,18,4,2,6,0,504.21,504.21,,
Y4,4,Y2,4,24,15,1,1,1,0,125.38,125.38,,
Y4,4,Y2,5,23,22,2,2,2,0,210.54,210.54,,
Y4,4,Y2,6,22,20,1,1,7,0,477.30,477.30,,
Y4,4,Y2,7,21,17,0,0,0,0,0.00,0.00,,
Y4,4,Y2,8,20,9,1,1,2,0,151.15,151.15,,
Y4,4,Y2,9,19,14,2,1,3,0,313.89,313.89,,
Y4,4,Y2,10,18,15,2,1,6,0,477.39,477.39,,
Y4,4,Y2,11,17,43,2,2,4,0,327.20,327.20,,
Y4,4,Y2,12,16,27,8,3,10,3,801.72,562.55,,
Y4,4,Y3,1,15,33,7,3,10,3,1134.10,874.81,,
Y4,4,Y3,2,14,24,6,3,8,4,807.66,422.99,,
Y4,4,Y3,3,13,19,2,2,4,1,410.54,226.72,,
Y4,4,Y3,4,12,38,2,1,3,0,187.45,187.45,,
Y4,4,Y3,5,11,40,10,5,34,1,2947.89,2879.98,,
Y4,4,Y3,6,10,67,4,3,10,3,728.93,553.93,,
Y4,4,Y3,7,9,70,7,5,17,1,1588.41,1543.49,,
Y4,4,Y3,8,8,88,10,6,13,5,1084.00,627.59,,
Y4,4,Y3,9,7,43,10,10,19,1,1743.39,1634.29,,
Y4,4,Y3,10,6,50,6,3,10,5,847.70,469.83,,
Y4,4,Y3,11,5,74,8,5,10,2,726.05,574.90,,
Y4,4,Y3,12,4,69,8,8,12,2,759.39,659.96,,
Y4,4,Y4,1,3,71,19,9,34,14,3309.00,2173.37,,
Y4,4,Y4,2,2,56,7,6,8,1,1032.76,890.13,,
Y4,4,Y4,3,1,63,15,8,32,9,2697.13,1920.21,,
Y4,4,Y4,4,0,75,84,74,191,62,16022.89,10474.23,,
Y4,5,Y1,4,37,35,6,5,10,1,632.18,561.40,,
Y4,5,Y1,5,36,33,3,2,8,6,685.06,158.81,,
Y4,5,Y1,6,35,21,6,3,13,2,1205.65,1013.31,,
Y4,5,Y1,7,34,13,0,0,0,0,0.00,0.00,,
Y4,5,Y1,8,33,11,0,0,0,0,0.00,0.00,,
Y4,5,Y1,9,32,12,4,3,6,1,358.62,294.54,,
Y4,5,Y1,10,31,13,1,1,1,0,124.43,124.43,,
Y4,5,Y1,11,30,11,0,0,0,0,0.00,0.00,,
Y4,5,Y1,12,29,5,1,1,1,0,109.10,109.10,,
Y4,5,Y2,1,28,7,0,0,0,0,0.00,0.00,,
Y4,5,Y2,2,27,14,0,0,0,0,0.00,0.00,,
Y4,5,Y2,3,26,18,2,1,2,0,116.67,116.67,,
Y4,5,Y2,4,25,15,4,3,5,1,372.13,305.17,,
Y4,5,Y2,5,24,22,1,1,2,0,142.53,142.53,,
Y4,5,Y2,6,23,20,3,2,9,5,715.61,309.96,,
Y4,5,Y2,7,22,17,1,1,3,3,260.25,0.00,,
Y4,5,Y2,8,21,9,2,2,4,0,397.13,397.13,,
Y4,5,Y2,9,20,14,2,2,12,2,828.35,714.56,,
Y4,5,Y2,10,19,15,6,4,13,2,966.19,864.85,,
Y4,5,Y2,11,18,43,0,0,0,0,0.00,0.00,,
Y4,5,Y2,12,17,27,2,1,2,1,105.17,54.50,,
Y4,5,Y3,1,16,33,5,4,8,2,508.81,377.78,,
Y4,5,Y3,2,15,24,2,2,5,2,556.03,347.41,,
Y4,5,Y3,3,14,19,1,1,1,0,109.10,109.10,,
Y4,5,Y3,4,13,38,3,3,3,0,464.27,464.27,,
Y4,5,Y3,5,12,40,15,6,29,11,2723.28,1849.81,,
Y4,5,Y3,6,11,67,7,5,12,4,903.07,568.20,,
Y4,5,Y3,7,10,70,10,6,26,5,1765.71,1379.21,,
Y4,5,Y3,8,9,88,8,5,11,1,858.14,757.66,,
Y4,5,Y3,9,8,43,15,8,36,9,2750.38,2092.24,,
Y4,5,Y3,10,7,50,10,7,18,6,1416.86,1072.61,,
Y4,5,Y3,11,6,74,13,8,28,6,2082.57,1618.58,,
Y4,5,Y3,12,5,69,5,4,8,2,486.78,277.20,,
Y4,5,Y4,1,4,71,14,5,27,15,2006.99,933.72,,
Y4,5,Y4,2,3,56,9,6,23,1,1913.51,1850.38,,
Y4,5,Y4,3,2,63,17,12,37,11,2393.97,1587.55,,
Y4,5,Y4,4,1,75,12,8,32,15,2500.77,1341.28,,
Y4,5,Y4,5,0,83,100,82,218,68,18799.04,12477.01,,
Y4,6,Y1,4,38,35,8,4,18,0,1218.58,1218.58,,
Y4,6,Y1,5,37,33,4,3,5,2,351.05,249.71,,
Y4,6,Y1,6,36,21,5,3,13,2,729.60,589.94,,
Y4,6,Y1,7,35,13,0,0,0,0,0.00,0.00,,
Y4,6,Y1,8,34,11,0,0,0,0,0.00,0.00,,
Y4,6,Y1,9,33,12,1,1,1,0,70.79,70.79,,
Y4,6,Y1,10,32,13,0,0,0,0,0.00,0.00,,
Y4,6,Y1,11,31,11,0,0,0,0,0.00,0.00,,
Y4,6,Y1,12,30,5,1,1,1,0,75.57,75.57,,
Y4,6,Y2,1,29,7,0,0,0,0,0.00,0.00,,
Y4,6,Y2,2,28,14,0,0,0,0,0.00,0.00,,
Y4,6,Y2,3,27,18,3,2,4,0,319.54,319.54,,
Y4,6,Y2,4,26,15,0,0,0,0,0.00,0.00,,
Y4,6,Y2,5,25,22,1,1,3,0,205.65,205.65,,
Y4,6,Y2,6,24,20,4,4,13,0,1038.98,1038.98,,
Y4,6,Y2,7,23,17,0,0,0,0,0.00,0.00,,
Y4,6,Y2,8,22,9,0,0,0,0,0.00,0.00,,
Y4,6,Y2,9,21,14,3,2,9,0,579.60,579.60,,
Y4,6,Y2,10,20,15,7,5,16,0,1205.36,1205.36,,
Y4,6,Y2,11,19,43,3,3,9,2,712.74,574.04,,
Y4,6,Y2,12,18,27,11,4,14,7,1033.14,400.67,,
Y4,6,Y3,1,17,33,0,0,0,0,0.00,0.00,,
Y4,6,Y3,2,16,24,10,7,19,4,1534.58,1196.84,,
Y4,6,Y3,3,15,19,2,2,2,0,163.60,163.60,,
Y4,6,Y3,4,14,38,0,0,0,0,0.00,0.00,,
Y4,6,Y3,5,13,40,5,3,17,5,1393.97,884.87,,
Y4,6,Y3,6,12,67,7,4,24,9,1759.20,1156.61,,
Y4,6,Y3,7,11,70,6,3,10,1,718.39,634.20,,
Y4,6,Y3,8,10,88,9,8,13,3,1506.42,1146.55,,
Y4,6,Y3,9,9,43,8,8,16,0,1389.27,1389.27,,
Y4,6,Y3,10,8,50,8,3,14,4,908.62,669.54,,
Y4,6,Y3,11,7,74,11,8,21,3,1520.02,1302.87,,
Y4,6,Y3,12,6,69,7,6,16,7,1058.81,501.05,,
Y4,6,Y4,1,5,71,9,5,14,4,880.84,624.52,,
Y4,6,Y4,2,4,56,4,4,10,0,704.98,704.98,,
Y4,6,Y4,3,3,63,9,8,20,2,1530.65,1455.17,,
Y4,6,Y4,4,2,75,5,5,11,4,787.26,552.97,,
Y4,6,Y4,5,1,83,16,12,35,6,2467.91,2094.92,,
Y4,6,Y4,6,0,115,131,114,299,118,25159.10,14697.22,,
Y4,7,Y1,4,39,35,15,7,26,1,1465.78,1407.44,,
Y4,7,Y1,5,38,33,19,6,29,10,2196.46,1367.91,,
Y4,7,Y1,6,37,21,5,3,10,0,728.23,728.23,,
Y4,7,Y1,7,36,13,1,1,14,1,697.89,676.92,,
Y4,7,Y1,8,35,11,1,1,1,0,112.93,112.93,,
Y4,7,Y1,9,34,12,0,0,0,0,0.00,0.00,,
Y4,7,Y1,10,33,13,1,1,1,0,83.24,83.24,,
Y4,7,Y1,11,32,11,1,1,1,0,83.24,83.24,,
Y4,7,Y1,12,31,5,1,1,1,0,66.95,66.95,,
Y4,7,Y2,1,30,7,1,1,1,0,29.60,29.60,,
Y4,7,Y2,2,29,14,2,2,4,0,400.96,400.96,,
Y4,7,Y2,3,28,18,0,0,0,0,0.00,0.00,,
Y4,7,Y2,4,27,15,2,1,7,0,289.56,289.56,,
Y4,7,Y2,5,26,22,3,2,4,0,251.53,251.53,,
Y4,7,Y2,6,25,20,6,3,13,0,1309.07,1309.07,,
Y4,7,Y2,7,24,17,0,0,0,0,0.00,0.00,,
Y4,7,Y2,8,23,9,1,1,1,0,66.95,66.95,,
Y4,7,Y2,9,22,14,2,2,4,0,209.39,209.39,,
Y4,7,Y2,10,21,15,6,1,16,0,728.30,728.30,,
Y4,7,Y2,11,20,43,5,3,10,2,542.15,382.38,,
Y4,7,Y2,12,19,27,11,4,20,7,1089.08,794.73,,
Y4,7,Y3,1,18,33,6,5,8,0,481.03,481.03,,
Y4,7,Y3,2,17,24,5,2,10,0,685.82,685.82,,
Y4,7,Y3,3,16,19,2,2,6,2,570.31,389.46,,
Y4,7,Y3,4,15,38,5,4,12,5,581.70,363.02,,
Y4,7,Y3,5,14,40,5,3,13,3,826.34,633.14,,
Y4,7,Y3,6,13,67,14,8,80,32,3863.75,2448.24,,
Y4,7,Y3,7,12,70,12,11,22,4,1418.39,1088.31,,
Y4,7,Y3,8,11,88,11,8,27,4,1131.51,912.55,,
Y4,7,Y3,9,10,43,4,3,7,1,653.54,557.85,,
Y4,7,Y3,10,9,50,14,7,27,8,1791.49,1195.52,,
Y4,7,Y3,11,8,74,8,7,25,4,1712.16,1465.42,,
Y4,7,Y3,12,7,69,9,7,32,13,2078.33,1211.76,,
Y4,7,Y4,1,6,71,9,8,23,8,1444.93,920.80,,
Y4,7,Y4,2,5,56,8,5,18,7,1198.47,833.24,,
Y4,7,Y4,3,4,63,12,9,24,5,2077.20,1379.41,,
Y4,7,Y4,4,3,75,4,4,7,1,436.11,360.54,,
Y4,7,Y4,5,2,83,34,18,78,10,5568.36,4747.48,,
Y4,7,Y4,6,1,115,27,20,72,20,4748.77,2893.30,,
Y4,7,Y4,7,0,134,163,134,326,91,21621.56,15795.83,,
Y4,8,Y1,4,40,35,10,6,18,2,1333.52,1140.23,,
Y4,8,Y1,5,39,33,7,5,7,2,521.36,311.78,,
Y4,8,Y1,6,38,21,7,3,19,0,1128.45,1128.45,,
Y4,8,Y1,7,37,13,1,1,1,0,125.38,125.38,,
Y4,8,Y1,8,36,11,2,2,4,0,376.40,376.40,,
Y4,8,Y1,9,35,12,0,0,0,0,0.00,0.00,,
Y4,8,Y1,10,34,13,1,1,1,0,54.50,54.50,,
Y4,8,Y1,11,33,11,1,1,1,0,125.38,125.38,,
Y4,8,Y1,12,32,5,0,0,0,0,0.00,0.00,,
Y4,8,Y2,1,31,7,0,0,0,0,0.00,0.00,,
Y4,8,Y2,2,30,14,0,0,0,0,0.00,0.00,,
Y4,8,Y2,3,29,18,1,1,1,0,134.00,134.00,,
Y4,8,Y2,4,28,15,3,1,3,0,159.67,159.67,,
Y4,8,Y2,5,27,22,2,2,4,3,152.87,25.77,,
Y4,8,Y2,6,26,20,4,3,9,0,676.34,676.34,,
Y4,8,Y2,7,25,17,1,1,1,0,45.88,45.88,,
Y4,8,Y2,8,24,9,2,1,2,0,138.70,138.70,,
Y4,8,Y2,9,23,14,0,0,0,0,0.00,0.00,,
Y4,8,Y2,10,22,15,4,1,12,0,1015.13,1015.13,,
Y4,8,Y2,11,21,43,1,1,1,0,45.88,45.88,,
Y4,8,Y2,12,20,27,6,2,13,7,965.23,447.70,,
Y4,8,Y3,1,19,33,0,0,0,0,0.00,0.00,,
Y4,8,Y3,2,18,24,0,0,0,0,0.00,0.00,,
Y4,8,Y3,3,17,19,5,4,12,3,1515.13,1063.31,,
Y4,8,Y3,4,16,38,0,0,0,0,0.00,0.00,,
Y4,8,Y3,5,15,40,9,4,14,3,967.05,695.31,,
Y4,8,Y3,6,14,67,7,5,23,13,1625.30,807.58,,
Y4,8,Y3,7,13,70,15,7,44,14,3254.41,2228.93,,
Y4,8,Y3,8,12,88,9,7,12,2,738.31,566.09,,
Y4,8,Y3,9,11,43,10,9,21,8,1783.43,1167.34,,
Y4,8,Y3,10,10,50,13,5,26,11,1968.77,992.82,,
Y4,8,Y3,11,9,74,7,4,12,0,680.84,680.84,,
Y4,8,Y3,12,8,69,7,6,12,0,801.53,801.53,,
Y4,8,Y4,1,7,71,19,7,33,9,2502.59,1646.17,,
Y4,8,Y4,2,6,56,5,5,17,1,1200.48,1041.57,,
Y4,8,Y4,3,5,63,7,5,10,5,635.06,349.14,,
Y4,8,Y4,4,4,75,9,7,16,3,1821.26,1448.95,,
Y4,8,Y4,5,3,83,22,13,37,4,2844.16,2434.58,,
Y4,8,Y4,6,2,115,12,12,25,4,1867.34,1656.99,,
Y4,8,Y4,7,1,134,20,13,33,8,2481.51,1956.42,,
Y4,8,Y4,8,0,90,95,88,210,39,17750.24,14071.59,,
Y4,9,Y1,4,41,35,12,7,20,7,1821.49,1000.99,,
Y4,9,Y1,5,40,33,6,3,13,7,1301.91,622.89,,
Y4,9,Y1,6,39,21,6,1,13,0,1010.66,1010.66,,
Y4,9,Y1,7,38,13,0,0,0,0,0.00,0.00,,
Y4,9,Y1,8,37,11,1,1,1,0,58.33,58.33,,
Y4,9,Y1,9,36,12,2,1,3,0,206.53,206.53,,
Y4,9,Y1,10,35,13,0,0,0,0,0.00,0.00,,
Y4,9,Y1,11,34,11,1,1,1,0,125.40,125.40,,
Y4,9,Y1,12,33,5,0,0,0,0,0.00,0.00,,
Y4,9,Y2,1,32,7,0,0,0,0,0.00,0.00,,
Y4,9,Y2,2,31,14,0,0,0,0,0.00,0.00,,
Y4,9,Y2,3,30,18,2,1,6,0,514.46,514.46,,
Y4,9,Y2,4,29,15,1,1,1,0,61.14,61.14,,
Y4,9,Y2,5,28,22,1,1,1,0,114.36,114.36,,
Y4,9,Y2,6,27,20,7,4,17,3,2265.34,1934.32,,
Y4,9,Y2,7,26,17,1,1,1,0,191.67,191.67,,
Y4,9,Y2,8,25,9,1,1,1,0,244.88,244.88,,
Y4,9,Y2,9,24,14,1,1,4,0,290.76,290.76,,
Y4,9,Y2,10,23,15,4,2,8,0,711.04,711.04,,
Y4,9,Y2,11,22,43,0,0,0,0,0.00,0.00,,
Y4,9,Y2,12,21,27,6,3,15,8,1655.83,756.22,,
Y4,9,Y3,1,20,33,3,2,4,3,439.73,83.23,,
Y4,9,Y3,2,19,24,5,4,9,4,1100.50,634.04,,
Y4,9,Y3,3,18,19,6,4,10,1,972.26,871.96,,
Y4,9,Y3,4,17,38,0,0,0,0,0.00,0.00,,
Y4,9,Y3,5,16,40,5,3,9,0,1008.13,1008.13,,
Y4,9,Y3,6,15,67,0,0,0,0,0.00,0.00,,
Y4,9,Y3,7,14,70,13,4,37,16,3421.65,2165.55,,
Y4,9,Y3,8,13,88,1,1,1,0,54.12,54.12,,
Y4,9,Y3,9,12,43,3,2,11,1,922.59,677.71,,
Y4,9,Y3,10,11,50,16,8,23,6,1858.80,1342.42,,
Y4,9,Y3,11,10,74,13,11,37,15,3958.12,2134.34,,
Y4,9,Y3,12,9,69,5,4,8,2,736.74,586.34,,
Y4,9,Y4,1,8,71,16,7,23,6,2115.14,1622.40,,
Y4,9,Y4,2,7,56,6,5,16,0,1362.98,1362.98,,
Y4,9,Y4,3,6,63,11,8,13,2,1373.98,1223.58,,
Y4,9,Y4,4,5,75,4,4,9,5,953.11,455.62,,
Y4,9,Y4,5,4,83,17,9,45,13,5025.43,3570.97,,
Y4,9,Y4,6,3,115,8,7,18,5,1568.59,1180.54,,
Y4,9,Y4,7,2,134,15,11,34,9,3216.55,2326.35,,
Y4,9,Y4,8,1,90,12,8,22,3,1738.33,1520.23,,
Y4,9,Y4,9,0,120,144,120,326,97,31168.55,21006.88,,
Y4,10,Y1,4,42,35,3,3,5,1,693.27,618.07,,
Y4,10,Y1,5,41,33,7,2,14,4,1436.35,959.84,,
Y4,10,Y1,6,40,21,8,3,13,1,1030.82,966.67,,
Y4,10,Y1,7,39,13,0,0,0,0,0.00,0.00,,
Y4,10,Y1,8,38,11,1,1,1,0,158.53,158.53,,
Y4,10,Y1,9,37,12,5,2,6,1,545.58,428.21,,
Y4,10,Y1,10,36,13,0,0,0,0,0.00,0.00,,
Y4,10,Y1,11,35,11,2,1,2,0,150.40,150.40,,
Y4,10,Y1,12,34,5,1,1,1,0,83.23,83.23,,
Y4,10,Y2,1,33,7,2,2,2,0,175.50,175.50,,
Y4,10,Y2,2,32,14,1,1,1,0,125.40,125.40,,
Y4,10,Y2,3,31,18,7,3,10,1,810.24,768.17,,
Y4,10,Y2,4,30,15,2,2,3,0,221.59,221.59,,
Y4,10,Y2,5,29,22,1,1,2,0,133.33,133.33,,
Y4,10,Y2,6,28,20,12,7,16,0,1711.24,1711.24,,
Y4,10,Y2,7,27,17,1,1,2,0,57.03,57.03,,
Y4,10,Y2,8,26,9,0,0,0,0,0.00,0.00,,
Y4,10,Y2,9,25,14,2,2,3,1,266.77,224.70,,
Y4,10,Y2,10,24,15,3,3,7,0,577.61,577.61,,
Y4,10,Y2,11,23,43,3,3,3,0,359.14,359.14,,
Y4,10,Y2,12,22,27,4,2,17,5,1537.45,1071.08,,
Y4,10,Y3,1,21,33,1,1,1,0,125.40,125.40,,
Y4,10,Y3,2,20,24,7,3,12,3,1282.93,898.69,,
Y4,10,Y3,3,19,19,3,2,3,1,365.16,264.86,,
Y4,10,Y3,4,18,38,3,2,6,4,561.65,117.27,,
Y4,10,Y3,5,17,40,11,6,22,3,3231.73,2561.35,,
Y4,10,Y3,6,16,67,8,7,19,3,1601.51,1350.80,,
Y4,10,Y3,7,15,70,6,5,10,1,1111.45,910.74,,
Y4,10,Y3,8,14,88,4,2,5,1,588.86,422.29,,
Y4,10,Y3,9,13,43,6,5,21,2,2192.67,2038.25,,
Y4,10,Y3,10,12,50,6,4,7,3,452.11,206.43,,
Y4,10,Y3,11,11,74,13,8,18,5,1615.66,1192.47,,
Y4,10,Y3,12,10,69,8,6,21,5,1995.88,1430.12,,
Y4,10,Y4,1,9,71,14,7,29,9,2814.33,1906.60,,
Y4,10,Y4,2,8,56,3,3,4,0,317.87,317.87,,
Y4,10,Y4,3,7,63,11,7,21,2,2312.15,2048.29,,
Y4,10,Y4,4,6,75,7,7,12,7,1404.42,764.56,,
Y4,10,Y4,5,5,83,20,11,32,8,3319.08,2384.14,,
Y4,10,Y4,6,4,115,9,8,24,8,2463.45,1411.04,,
Y4,10,Y4,7,3,134,19,10,34,15,3359.04,1857.53,,
Y4,10,Y4,8,2,90,13,10,21,3,1820.18,1520.28,,
Y4,10,Y4,9,1,120,36,16,122,41,11040.96,7472.79,,
Y4,10,Y4,10,0,139,173,139,387,131,41584.46,26634.94,,
Y4,11,Y1,4,43,35,5,3,10,3,824.30,585.64,,
Y4,11,Y1,5,42,33,1,1,1,0,117.37,117.37,,
Y4,11,Y1,6,41,21,8,2,14,0,979.52,979.52,,
Y4,11,Y1,7,40,13,1,1,1,1,125.40,0.00,,
Y4,11,Y1,8,39,11,0,0,0,0,0.00,0.00,,
